date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2013-07-31,RB_CTB_BAND,0.04608109417281399,0.0248543565842696,0.0003189245076456581,1.682757865121322e-06,0.02090613032303361,0.0248543565842696,0.035448046519427526
2013-08-30,ERC,1.2830010212187065e-06,3.200304673607133e-12,6.13016740112774e-05,1.2829978209140328e-06,0.0,3.200304673607133e-12,0.07382157224996148
2013-08-30,CTB_ONLY,0.01924105927359716,0.14573805928215208,0.0009905810433197746,2.3894031676606943e-06,0.0,0.14573805928215208,0.0192386698704295
2013-08-30,RB_CTB_BAND,0.04573521338494628,0.02512402081248459,0.00016700025867944022,1.6685977221402197e-06,0.02044252371606011,0.02512402081248459,0.035220051293733214
2013-09-30,ERC,5.760839649998247e-06,4.477592500780545e-06,9.56694802492251e-06,1.2832471492177024e-06,0.0,4.477592500780545e-06,0.0791802626535324
2013-09-30,CTB_ONLY,0.021208150387348048,0.15431193760197706,0.0012845016593441725,2.4738145941073997e-06,0.0,0.15431193760197706,0.02120567657275394
2013-09-30,RB_CTB_BAND,0.05444088073537771,0.0269553421947201,0.00036463414513318,1.6763384454915717e-06,0.027119228057078934,0.0269553421947201,0.038289151146866186
2013-10-31,ERC,1.2795994060299184e-06,3.0349084520131496e-12,3.962472630678216e-05,1.2795963711214665e-06,0.0,3.0349084520131496e-12,0.0788995827623311
2013-10-31,CTB_ONLY,0.021587707696955432,0.1581697405779071,0.00037916371525202467,2.4965332144664692e-06,0.0,0.1581697405779071,0.021585211163740965
2013-10-31,RB_CTB_BAND,0.05425609411090947,0.02805042411804962,0.00015447071100820056,1.6712387502845249e-06,0.02604952804310136,0.02805042411804962,0.037825217652018725
2013-11-29,ERC,1.2779339025934328e-06,3.2343716344457877e-12,1.7732336309846548e-05,1.2779306682217983e-06,0.0,3.2343716344457877e-12,0.07944199624912159
2013-11-29,CTB_ONLY,0.020950340081205672,0.16683423287995283,0.0006576081451170712,2.5536922376882955e-06,0.0,0.16683423287995283,0.020947786388967982
2013-11-29,RB_CTB_BAND,0.054174131829125144,0.028644069949875395,9.380039840914372e-05,1.6678444756720296e-06,0.02543459363636493,0.028644069949875395,0.03755419856096196
2013-12-31,ERC,1.2947557859500382e-06,3.4903487811989926e-12,7.804633285442124e-05,1.294752295601257e-06,0.0,3.4903487811989926e-12,0.08028108023997786
2013-12-31,CTB_ONLY,0.020417724199977342,0.1725320140381104,0.00015960399577490125,2.5799908282274525e-06,0.0,0.1725320140381104,0.020415144209149114
2013-12-31,RB_CTB_BAND,0.05308302296899714,0.029347367010509003,4.750157164879338e-05,1.6863062770764285e-06,0.023686468080562267,0.029347367010509003,0.036765324753176676
2014-01-31,ERC,1.297293131257544e-06,3.5555504353868572e-12,3.108298326861812e-06,1.2972895757071086e-06,0.0,3.5555504353868572e-12,0.08146651096685276
2014-01-31,CTB_ONLY,0.021196689581450448,0.1733974302524291,1.797832587505504e-05,2.580563949487384e-06,0.0,0.1733974302524291,0.02119410901750096
2014-01-31,RB_CTB_BAND,0.055258931352622276,0.03001392749635998,1.9881858534911784e-05,1.6963279501589097e-06,0.025223425669777224,0.03001392749635998,0.03746037651945186
