date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2019-04-30,RB_CTB_BAND,6.3850538526847626e-06,2.8838510760345336e-06,2.3021529626368997e-06,1.199049814013329e-06,0.0,2.8838510760345336e-06,0.008106962411197993
2019-05-31,ERC,1.1981791465962553e-06,3.846200685425011e-13,1.8454518356529862e-05,1.1981787619761868e-06,0.0,3.846200685425011e-13,0.008308120999107138
2019-05-31,CTB_ONLY,1.0312483821605764e-05,0.0026041505114055,0.0002843911535218828,1.2459544187553184e-06,0.0,0.0026041505114055,9.066529402850445e-06
2019-05-31,RB_CTB_BAND,1.1625825512392796e-05,7.069633532453914e-06,3.3574479625836256e-06,1.1987440173552583e-06,0.0,7.069633532453914e-06,0.00804913183003393
2019-06-28,ERC,1.2084809064381722e-06,3.9627779572279854e-13,3.328031280003709e-05,1.2084805101603766e-06,0.0,3.9627779572279854e-13,0.009480412551762978
2019-06-28,CTB_ONLY,1.5303878717000235e-05,0.0034446748487175463,0.00025782300587699563,1.2618828775426415e-06,0.0,0.0034446748487175463,1.4041995839457593e-05
2019-06-28,RB_CTB_BAND,2.7161718682868994e-05,1.1422240724515525e-05,1.4534531067105593e-05,1.2049468912478753e-06,0.0,1.1422240724515525e-05,0.010310179414702086
2019-07-31,ERC,1.2132114437119138e-06,4.506751236287352e-13,7.125374434503489e-05,1.2132109930367903e-06,0.0,4.506751236287352e-13,0.009800316393898324
2019-07-31,CTB_ONLY,1.2581499292978069e-06,0.004051070554015401,0.0022932495226811412,1.2581069229446723e-06,0.0,0.004051070554015401,4.300635313449114e-11
2019-07-31,RB_CTB_BAND,2.3395586150964536e-05,8.558601989731069e-06,1.3626894784773603e-05,1.210089376459864e-06,0.0,8.558601989731069e-06,0.010865172990398226
2019-08-30,ERC,1.2144879440691224e-06,4.2925207599504577e-13,2.721112987346594e-05,1.2144875148170465e-06,0.0,4.2925207599504577e-13,0.01008630603242911
